OrderID,ProductID,Quantity,UnitCost,UnitPrice
ORD1001,PRD16,9,171.34,236.07
ORD1002,PRD01,7,189.7,255.2
ORD1002,PRD03,4,164.43,293.76
ORD1003,PRD16,8,80.79,146.45
ORD1003,PRD20,2,158.6,218.31
ORD1004,PRD12,6,15.34,27.39
ORD1004,PRD25,9,66.96,101.35
ORD1004,PRD13,2,125.61,196.24
ORD1005,PRD09,10,47.54,63.81
ORD1005,PRD20,7,141.8,189.73
ORD1005,PRD22,9,329.31,469.78
ORD1006,PRD20,9,113.67,203.69
ORD1007,PRD05,6,263.48,402.96
ORD1008,PRD20,9,54.62,74.19
ORD1009,PRD06,10,226.23,370.96
ORD1009,PRD13,6,166.98,256.12
ORD1010,PRD23,5,132.84,240.07
ORD1010,PRD19,6,252.54,338.53
ORD1011,PRD10,1,181.22,300.47
ORD1011,PRD26,10,201.99,290.93
ORD1011,PRD24,10,159.01,242.82
ORD1012,PRD20,3,246.39,411.72
ORD1012,PRD25,10,271.32,474.36
ORD1012,PRD13,1,141.52,223.31
ORD1013,PRD23,7,170.36,253.4
ORD1013,PRD07,8,304.69,437.04
ORD1014,PRD23,3,173.32,261.75
ORD1015,PRD16,6,307.2,478.56
ORD1015,PRD17,9,108.31,174.45
ORD1015,PRD13,5,180.65,306.99
ORD1016,PRD09,9,112.78,152.76
ORD1017,PRD25,4,224.57,346.67
ORD1017,PRD10,8,130.89,177.66
ORD1018,PRD09,10,212.78,339.93
ORD1018,PRD10,7,303.85,410.1
ORD1018,PRD04,3,90.38,148.77
ORD1019,PRD03,5,222.26,374.93
ORD1019,PRD12,9,92.21,139.21
ORD1019,PRD15,5,49.11,72.95
ORD1020,PRD08,9,69.63,116.71
ORD1020,PRD02,2,145.34,209.58
ORD1020,PRD22,2,197.61,342.19
ORD1021,PRD06,8,142.36,241.34
ORD1021,PRD14,5,111.37,163.98
ORD1021,PRD21,2,195.57,327.89
ORD1022,PRD24,7,258.47,441.71
ORD1022,PRD02,1,313.82,498.6
ORD1022,PRD06,8,68.03,97.22
ORD1023,PRD02,5,163.52,286.14
ORD1023,PRD01,6,109.08,145.86
ORD1024,PRD17,9,139.3,236.67
ORD1024,PRD16,2,117.45,168.69
ORD1024,PRD05,5,199.41,360.71
ORD1025,PRD26,10,199.45,338.83
ORD1025,PRD10,10,312.76,428.79
ORD1026,PRD17,2,115.76,203.41
ORD1026,PRD11,3,177.91,241.34
ORD1027,PRD09,7,85.2,121.58
ORD1028,PRD10,10,7.26,10.66
ORD1028,PRD19,4,20.51,35.75
ORD1029,PRD06,9,336.09,461.94
ORD1029,PRD13,5,234.97,346.69
ORD1030,PRD12,4,65.44,113.47
ORD1030,PRD20,3,172.14,230.21
ORD1031,PRD14,9,320.45,456.83
ORD1031,PRD23,4,262.16,382.12
ORD1032,PRD26,8,165.83,266.45
ORD1032,PRD03,10,43.33,60.54
ORD1032,PRD17,9,69.07,105.07
ORD1033,PRD11,9,153.48,223.71
ORD1034,PRD19,9,126.54,225.51
ORD1034,PRD16,3,166.15,259.06
ORD1034,PRD03,1,192.77,281.6
ORD1035,PRD24,7,72.11,130.96
ORD1035,PRD01,4,162.83,291.26
ORD1036,PRD23,9,366.31,497.09
ORD1036,PRD03,2,317.79,493.14
ORD1037,PRD14,3,286.4,384.08
ORD1037,PRD06,7,138.63,190.36
ORD1038,PRD13,9,51.14,70.83
ORD1038,PRD03,2,61.37,93.34
ORD1039,PRD05,1,282.85,379.31
ORD1039,PRD24,8,222.95,338.38
ORD1039,PRD08,9,114.86,192.74
ORD1040,PRD12,5,71.27,98.3
ORD1040,PRD05,2,14.29,20.95
ORD1041,PRD25,4,25.62,38.31
ORD1041,PRD01,8,207.82,300.9
ORD1041,PRD08,1,70.49,126.14
ORD1042,PRD08,4,266.87,378.42
ORD1042,PRD18,3,154.66,254.43
ORD1043,PRD19,6,88.68,122.27
ORD1043,PRD11,9,69.81,114.42
ORD1043,PRD20,1,187.52,280.58
ORD1044,PRD06,7,156.71,280.15
ORD1044,PRD21,6,322.35,471.09
ORD1044,PRD22,9,103.08,162.77
ORD1045,PRD10,7,63.14,96.02
ORD1046,PRD08,5,248.61,429.48
ORD1047,PRD02,7,320.18,484.05
