OrderID,CustomerID,OrderDate,Channel,StoreID
ORD1001,CUST528,2024-01-26,In-Store,ST04
ORD1002,CUST557,2024-05-22,In-Store,ST09
ORD1003,CUST522,2025-08-27,Online,ST01
ORD1004,CUST523,2024-08-11,Online,ST10
ORD1005,CUST506,2025-07-28,Online,ST09
ORD1006,CUST607,2024-08-13,Online,ST05
ORD1007,CUST501,2024-06-12,In-Store,ST06
ORD1008,CUST571,2024-06-08,Online,ST06
ORD1009,CUST526,2024-04-04,Online,ST06
ORD1010,CUST588,2025-09-10,Online,ST01
ORD1011,CUST617,2025-07-03,Online,ST07
ORD1012,CUST520,2025-07-19,Online,ST10
ORD1013,CUST592,2025-08-14,Online,ST02
ORD1014,CUST511,2025-11-08,Online,ST05
ORD1015,CUST520,2024-08-26,In-Store,ST07
ORD1016,CUST571,2025-04-09,In-Store,ST06
ORD1017,CUST541,2025-01-14,Online,ST05
ORD1018,CUST518,2025-09-15,In-Store,ST09
ORD1019,CUST562,2024-06-16,Online,ST05
ORD1020,CUST642,2024-08-12,In-Store,ST01
ORD1021,CUST558,2024-02-02,In-Store,ST07
ORD1022,CUST568,2024-03-08,Online,ST10
ORD1023,CUST580,2024-08-05,In-Store,ST07
ORD1024,CUST617,2024-05-26,Online,ST04
ORD1025,CUST643,2025-07-05,Online,ST10
ORD1026,CUST609,2025-08-20,Online,ST04
ORD1027,CUST535,2025-06-05,Online,ST01
ORD1028,CUST528,2024-06-05,In-Store,ST07
ORD1029,CUST516,2025-01-29,Online,ST08
ORD1030,CUST635,2024-09-14,Wholesale,ST01
ORD1031,CUST529,2025-11-29,In-Store,ST05
ORD1032,CUST587,2024-04-24,Online,ST03
ORD1033,CUST616,2024-01-04,Wholesale,ST05
ORD1034,CUST628,2024-07-01,Online,ST02
ORD1035,CUST576,2025-10-16,Online,ST04
ORD1036,CUST539,2025-01-17,In-Store,ST09
ORD1037,CUST635,2024-01-01,In-Store,ST08
ORD1038,CUST504,2024-04-24,Wholesale,ST05
ORD1039,CUST561,2024-02-29,Online,ST10
ORD1040,CUST520,2024-03-28,In-Store,ST02
ORD1041,CUST636,2024-05-08,Online,ST08
ORD1042,CUST640,2024-06-18,Online,ST10
ORD1043,CUST608,2024-08-04,Wholesale,ST04
ORD1044,CUST579,2025-02-12,Wholesale,ST06
ORD1045,CUST612,2025-06-13,Online,ST04
ORD1046,CUST557,2024-03-06,Online,ST10
ORD1047,CUST641,2024-08-23,In-Store,ST01
ORD1048,CUST518,2025-12-25,In-Store,ST04
ORD1049,CUST517,2024-02-02,In-Store,ST02
ORD1050,CUST631,2024-08-31,Online,ST08
ORD1051,CUST554,2025-07-06,Online,ST10
ORD1052,CUST647,2025-04-29,Online,ST08
ORD1053,CUST604,2024-07-13,Online,ST07
ORD1054,CUST590,2025-03-09,Online,ST01
ORD1055,CUST525,2024-03-03,Online,ST06
ORD1056,CUST527,2024-09-11,Online,ST09
ORD1057,CUST614,2024-05-23,Online,ST05
ORD1058,CUST618,2024-09-12,In-Store,ST02
ORD1059,CUST613,2025-07-17,Online,ST09
ORD1060,CUST503,2024-04-05,Wholesale,ST04
ORD1061,CUST542,2025-02-20,Online,ST04
ORD1062,CUST602,2024-03-01,Online,ST01
ORD1063,CUST599,2024-09-28,Wholesale,ST08
ORD1064,CUST573,2025-03-09,In-Store,ST09
ORD1065,CUST624,2024-06-07,Online,ST04
ORD1066,CUST514,2025-08-16,In-Store,ST01
ORD1067,CUST580,2024-02-28,Online,ST08
ORD1068,CUST628,2025-06-27,Online,ST09
ORD1069,CUST520,2024-07-09,Online,ST02
ORD1070,CUST560,2025-02-17,Online,ST10
ORD1071,CUST563,2025-08-15,In-Store,ST10
ORD1072,CUST520,2025-03-05,In-Store,ST10
ORD1073,CUST633,2024-11-19,Wholesale,ST04
ORD1074,CUST580,2024-09-01,Online,ST03
ORD1075,CUST576,2025-04-13,Online,ST02
ORD1076,CUST502,2025-04-14,In-Store,ST10
ORD1077,CUST525,2024-03-16,Online,ST09
ORD1078,CUST567,2024-05-15,Wholesale,ST02
ORD1079,CUST562,2025-01-13,Online,ST08
ORD1080,CUST639,2025-12-21,Online,ST09
ORD1081,CUST502,2025-11-14,In-Store,ST05
